,mentah,Sentiment,preprocessing_result
36,mungkin di waktu agar lebih di jadwalkan dengan baik. sebab sebelumnya telat masuk 30 menit,1.0,waktu jadwal telat 30 menit
37,Perlu diadakan follow up bagi mahasiswa mahasiswi persiapan tesis,1.0,follow up mahasiswa mahasiswi tesis
38,pelatihan literasi sebaiknya dilakukan awal pertama perkuliahan karena literasi sangat penting diketahui di awal perkuliahan ,1.0,latih literasi kuliah literasi kuliah
39,Untuk jaringan wifi mohon di perlancar agar peserta pelatihan mendapatkan fasilitas yang memadai. Untuk semuanya sudah sudah baik dan  informasi yang di dapatkan sangat bermanfaat.,1.0,jaring wifi lancar latih fasilitas informasi manfaat
40,Good,1.0,good
41,komputernya jangan error dong pak ,0.0,komputer error
42,membuat lebih baik lagi,1.0,
43,Dilakukan sesuai prodi masing-masing,1.0,sesuai prodi masingmasing
44,mantep,1.0,mantep
45,komputer bisa singkron semua,1.0,komputer singkron
46,lebih terperinci lagi penjelasan dan perakteknya,1.0,perinci perakteknya
47,pelatihnya jangan telat datang ya,0.0,latih telat
48,"Next time, tepat waktu yaa :)",1.0,next time waktu yaa
49,diharapkan kedepannya tepat waktu,1.0,harap waktu
50,untuk selanjutnya platihan dilaksankan tepat waktu,1.0,platihan dilaksankan waktu
51,"harus lebih tepat waktu, kami lelah menunggu yang tidak pasti :D",1.0,waktu lelah tunggu
52,"berangkat tepat waktun ya,  jadi saya engga nunggu lama terimakasih ",1.0,berangkat waktun engga nunggu terimakasih
53,"TIDAK, SUDAH BAIK",1.0,
54,datang tepat waktu,0.0,waktu
55,DATANG TEPAT WAKTU ,0.0,waktu
56,"udah mantap, joosshhh",1.0,udah mantap joosshhh
57,semangat!,1.0,semangat
58,DIBERIKAN PPTNYA AKAN LEBIH BAIK DAN MEMBANTU,0.0,pptnya bantu
59,koneksi internet yang lancar,1.0,koneksi internet lancar
60,BERI HANDOUT LANGKAH-LANGKAH UNTUK MENDELEY,1.0,handout langkahlangkah mendeley
61,semoga ada pelatihan lanjutan agar lebih memahami mendelay,1.0,moga latih paham mendelay
62,"kurang waktuya
internetnya  kurang support",0.0,waktuya internetnya support
63,sudah bagus,1.0,bagus
64,koneksi internet lebih stabil,0.0,koneksi internet stabil
65,Koneksi internet yang lancar dan lebih banyak lagi referensi yang diberikan. Terima kasih,0.0,koneksi internet lancar referensi terima kasih
66,browser yang bisa digunakan untuk akses digilib tolong bisa ditambahkan misal: google chrome. ,1.0,browser akses digilib tolong google chrome
67,koneksi internet tolong lebih satbilkan,0.0,koneksi internet tolong satbilkan
68,mungkin dari segi koneksi internetnya di percepat. sama tolong aplikasi medeleynya tiap pc sudah di instal. terimakasih,0.0,segi koneksi internetnya cepat tolong aplikasi medeleynya pc instal terimakasih
69,koneksi harus tetap stabil dan tinggi,0.0,koneksi stabil tinggi
70,koneksi internet diperbaiki,0.0,koneksi internet
71,semangat ,1.0,semangat
72,Luar Biasa,1.0,
73,bagus,1.0,bagus
74,serinsering adain pelatihan ntuk referenc,1.0,serinsering adain latih ntuk referenc
75,semangat ,1.0,semangat
76,di adakan nkelas khusus untuk s2,1.0,adakan nkelas s2
77,trouble dalam beberapa komputer ,0.0,trouble komputer
78,Internet lebih cepat lagi untuk akses data,0.0,internet cepat akses data
79,Luar Biasa,1.0,
80,"udah baik penyampaian materinya, jaringannya aja ya..",1.0,udah materi jaring aja
81,sudah ok,1.0,ok
82,stabilitas koneksi internet,1.0,stabilitas koneksi internet
83,koneksi internet,0.0,koneksi internet
84,koneksinya kurang memuaskan.,0.0,koneksi muas
85,Koneksi internet supaya lebih lancar lagi dan didampingi saat akan melakukan pengaktifan mendeley,0.0,koneksi internet lancar damping aktif mendeley
86,trouble dalam koneksi internet,0.0,trouble koneksi internet
87,Internet agar mudah di akses,0.0,internet mudah akses
88,koneksi internet ,0.0,koneksi internet
89,koneksi internet,0.0,koneksi internet
90,koneksi lagi sih tolong diperbaiki,0.0,koneksi sih tolong
91,Koneksi internet,0.0,koneksi internet
92,"baik semua, cuma dari jaringannya saja yang masih kurang",0.0,jaring
93,KONEKSI INTERNET,0.0,koneksi internet
94,terima kasih atas pelatihannya,1.0,terima kasih latih
95,Pelaksanaan tepat waktu,1.0,laksana waktu
96,terimakasih,1.0,terimakasih
97,Pelaksanaan tepat waktu dengan yang sudah ditentukan,1.0,laksana waktu
98,Waktunya kurang tepat,0.0,waktu
99,tingkatkan,1.0,tingkat
100,mantap jiwa,1.0,mantap jiwa
101,"JUMLAH PESERTA KADANG TERLALU BANYAK DAN KADANG TERLALU SEDIKIT, PENYEBARAN INFORMASI PELATIHAN KURANG EFEKTIF. MASIH ADA BANYAK MAHASISWA YANG BELUM MENGETAHUINYA.",0.0,kadang kadang sebar informasi latih efektif mahasiswa
